,Cases,Deaths,Daily Cases,Daily Deaths,CFR
0,0,0,0,0,0.0
1,0,0,0,0,0.0
2,0,0,0,0,0.0
3,0,0,0,0,0.0
4,0,0,0,0,0.0
5,0,0,0,0,0.0
6,0,0,0,0,0.0
7,0,0,0,0,0.0
8,0,0,0,0,0.0
9,0,0,0,0,0.0
10,1,0,1,0,0.0
11,1,0,0,0,0.0
12,8,0,7,0,0.0
13,15,0,7,0,0.0
14,19,0,4,0,0.0
15,24,0,5,0,0.0
16,30,0,6,0,0.0
17,58,0,28,0,0.0
18,93,0,35,0,0.0
19,120,1,27,1,0.008333333333333333
20,214,1,94,0,0.004672897196261682
21,268,1,54,0,0.0037313432835820895
22,332,2,64,1,0.006024096385542169
23,374,2,42,0,0.0053475935828877
24,497,3,123,1,0.006036217303822937
25,652,4,155,1,0.006134969325153374
26,868,7,216,3,0.008064516129032258
27,1139,11,271,4,0.009657594381035996
28,1375,13,236,2,0.009454545454545455
29,2217,14,842,1,0.006314839873703203
30,2353,19,136,5,0.008074798130046749
31,2742,27,389,8,0.009846827133479213
32,3115,33,373,6,0.01059390048154093
33,4222,43,1107,10,0.010184746565608716
34,5615,56,1393,13,0.009973285841495993
35,6863,80,1248,24,0.011656709893632522
36,7474,98,611,18,0.013112122023013113
37,8795,120,1321,22,0.013644115974985787
38,9877,122,1082,2,0.012351928723296548
39,10897,153,1020,31,0.014040561622464899
40,11811,192,914,39,0.016256032512065022
41,12928,231,1117,39,0.01786819306930693
42,14076,264,1148,33,0.01875532821824382
43,14829,300,753,36,0.020230629172567266
44,15922,359,1093,59,0.022547418665996733
45,16605,433,683,74,0.026076482987052094
46,17768,488,1163,55,0.027465105808194508
47,18827,536,1059,48,0.028469750889679714
48,19606,591,779,55,0.030143833520350913
49,20505,666,899,75,0.03247988295537674
50,21100,715,595,49,0.03388625592417062
51,21657,765,557,50,0.03532345200166228
52,22253,821,596,56,0.03689390194580506
53,23280,895,1027,74,0.038445017182130586
54,24051,948,771,53,0.03941624048896096
55,24551,1002,500,54,0.040813001507066925
56,25107,1036,556,34,0.041263392679332454
57,25415,1106,308,70,0.04351760771198111
58,25688,1138,273,32,0.04430084085954531
59,25936,1174,248,36,0.0452652683528686
60,26336,1239,400,65,0.0470458687727825
61,26732,1281,396,42,0.04792009576537483
62,27078,1327,346,46,0.04900657360218628
63,27404,1368,326,41,0.04991971974894176
64,27740,1393,336,25,0.05021629416005768
65,27944,1429,204,36,0.051137990266246776
66,28063,1478,119,49,0.05266721305633753
67,28268,1509,205,31,0.053381915947360976
68,28496,1549,228,40,0.0543585064570466
69,28677,1589,181,40,0.055410259092652646
70,28894,1599,217,10,0.05534020903993909
71,29061,1610,167,11,0.0554007088537903
72,29164,1665,103,55,0.05709093402825401
73,29264,1699,100,34,0.05805768179332969
74,29407,1716,143,17,0.05835345325942803
75,29586,1737,179,21,0.05871020077063476
76,29705,1754,119,17,0.05904729843460697
77,29817,1762,112,8,0.05909380554717108
78,29905,1762,88,0,0.058919913058017054
79,29981,1784,76,22,0.05950435275674594
80,30009,1795,28,11,0.05981538871671832
81,30060,1805,51,10,0.06004657351962741
