,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,2,Feb 26,0,2,0,0.0
12,2,Feb 27,0,0,0,0.0
13,2,Feb 28,0,0,0,0.0
14,4,Feb 29,0,2,0,0.0
15,4,Mar 01,0,0,0,0.0
16,4,Mar 02,0,0,0,0.0
17,5,Mar 03,0,1,0,0.0
18,5,Mar 04,0,0,0,0.0
19,5,Mar 05,0,0,0,0.0
20,6,Mar 06,0,1,0,0.0
21,6,Mar 07,0,0,0,0.0
22,7,Mar 08,0,1,0,0.0
23,16,Mar 09,0,9,0,0.0
24,19,Mar 10,0,3,0,0.0
25,20,Mar 11,0,1,0,0.0
26,21,Mar 12,0,1,0,0.0
27,28,Mar 13,0,7,0,0.0
28,33,Mar 14,0,5,0,0.0
29,53,Mar 15,0,20,0,0.0
30,184,Mar 16,0,131,0,0.0
31,247,Mar 17,0,63,0,0.0
32,307,Mar 18,2,60,2,0.006514657980456026
33,454,Mar 19,2,147,0,0.004405286343612335
34,501,Mar 20,3,47,1,0.005988023952095809
35,645,Mar 21,3,144,0,0.004651162790697674
36,776,Mar 22,5,131,2,0.006443298969072165
37,875,Mar 23,6,99,1,0.006857142857142857
38,972,Mar 24,7,97,1,0.00720164609053498
39,1063,Mar 25,8,91,1,0.007525870178739417
40,1201,Mar 26,9,138,1,0.00749375520399667
41,1373,Mar 27,11,172,2,0.008011653313911144
42,1495,Mar 28,12,122,1,0.008026755852842809
43,1597,Mar 29,14,102,2,0.008766437069505322
44,1717,Mar 30,21,120,7,0.0122306348281887
45,1938,Mar 31,26,221,5,0.013415892672858616
46,2118,Apr 01,27,180,1,0.012747875354107648
47,2421,Apr 02,34,303,7,0.014043783560512184
48,2686,Apr 03,40,265,6,0.014892032762472078
49,2818,Apr 04,41,132,1,0.014549325762952448
50,3157,Apr 05,47,339,6,0.014887551472917327
51,3766,Apr 06,53,609,6,0.014073287307488051
52,4035,Apr 07,57,269,4,0.01412639405204461
53,4263,Apr 08,61,228,4,0.014309171944639924
54,4489,Apr 09,65,226,4,0.014479839607930497
55,4695,Apr 10,66,206,1,0.014057507987220448
56,5011,Apr 11,86,316,20,0.017162243065256436
57,5230,Apr 12,91,219,5,0.01739961759082218
58,5496,Apr 13,93,266,2,0.016921397379912665
59,5837,Apr 14,96,341,3,0.016446804865513105
60,6383,Apr 15,111,546,15,0.017389942033526555
61,6919,Apr 16,128,536,17,0.01849978320566556
62,7025,Apr 17,135,106,7,0.019217081850533807
63,7638,Apr 18,143,613,8,0.01872217858078031
64,8348,Apr 19,168,710,25,0.020124580737901295
65,8892,Apr 20,176,544,8,0.01979307242465137
66,9565,Apr 21,201,673,25,0.02101411395713539
67,10076,Apr 22,212,511,11,0.021040095275903135
68,11057,Apr 23,235,981,23,0.02125350456724247
69,11940,Apr 24,253,883,18,0.0211892797319933
70,12723,Apr 25,269,783,16,0.02114281222982001
71,13328,Apr 26,281,605,12,0.02108343337334934
72,13915,Apr 27,292,587,11,0.020984549047790155
73,14612,Apr 28,312,697,20,0.021352313167259787
74,15525,Apr 29,343,913,31,0.022093397745571657
75,16473,Apr 30,361,948,18,0.02191464821222607
76,18092,May 01,417,1619,56,0.023048861375193457
77,19022,May 02,437,930,20,0.022973399221953527
78,20084,May 03,457,1062,20,0.022754431388169686
79,20941,May 04,476,857,19,0.022730528628050237
80,22049,May 05,514,1108,38,0.023311714816998504
81,23214,May 06,544,1165,30,0.023434134573963986
82,24644,May 07,585,1430,41,0.023738029540658984
