,Cases,Deaths,Daily Cases,Daily Deaths,CFR
0,0,0,0,0,0.0
1,0,0,0,0,0.0
2,0,0,0,0,0.0
3,0,0,0,0,0.0
4,0,0,0,0,0.0
5,0,0,0,0,0.0
6,1,0,1,0,0.0
7,1,0,0,0,0.0
8,2,0,1,0,0.0
9,2,0,0,0,0.0
10,2,0,0,0,0.0
11,2,0,0,0,0.0
12,3,0,1,0,0.0
13,7,0,4,0,0.0
14,7,0,0,0,0.0
15,10,0,3,0,0.0
16,12,0,2,0,0.0
17,12,0,0,0,0.0
18,15,0,3,0,0.0
19,17,0,2,0,0.0
20,21,0,4,0,0.0
21,25,0,4,0,0.0
22,39,0,14,0,0.0
23,50,0,11,0,0.0
24,75,0,25,0,0.0
25,97,0,22,0,0.0
26,109,0,12,0,0.0
27,143,0,34,0,0.0
28,193,0,50,0,0.0
29,213,0,20,0,0.0
30,298,0,85,0,0.0
31,337,0,39,0,0.0
32,433,0,96,0,0.0
33,677,0,244,0,0.0
34,705,1,28,1,0.0014184397163120568
35,883,1,178,0,0.0011325028312570782
36,1071,1,188,0,0.0009337068160597573
37,1442,1,371,0,0.0006934812760055479
38,1930,3,488,2,0.0015544041450777201
39,2369,5,439,2,0.002110595187842972
40,2693,8,324,3,0.0029706646862235424
41,3035,12,342,4,0.003953871499176277
42,3619,12,584,0,0.0033158331030671458
43,4247,15,628,3,0.0035319048740287263
44,4695,16,448,1,0.0034078807241746537
45,5358,20,663,4,0.003732736095558044
46,6092,26,734,6,0.004267892317793828
47,6857,36,765,10,0.005250109377278694
48,7428,40,571,4,0.005385029617662897
49,7851,44,423,4,0.0056043816074385425
50,8430,49,579,5,0.005812574139976275
51,8904,57,474,8,0.006401617250673854
52,9248,65,344,8,0.007028546712802768
53,9404,73,156,8,0.007762654189706508
54,9968,86,564,13,0.00862760834670947
55,10408,95,440,9,0.009127594158339738
56,10743,101,335,6,0.009401470725123337
57,11145,103,402,2,0.00924181247196052
58,11586,116,441,13,0.010012083549110996
59,12046,123,460,7,0.010210858376224473
60,12501,130,455,7,0.010399168066554675
61,12758,142,257,12,0.01113027120238282
62,12982,151,224,9,0.011631489755045448
63,13265,164,283,13,0.01236336223143611
64,13491,172,226,8,0.012749240234230227
65,13713,177,222,5,0.012907460074381974
66,13942,184,229,7,0.013197532635202984
67,14498,189,556,5,0.01303628086632639
68,14803,192,305,3,0.012970343849219752
69,15058,194,255,2,0.01288351706733962
70,15298,199,240,5,0.013008236370767421
71,15443,201,145,2,0.013015605776079778
72,15555,204,112,3,0.013114754098360656
73,15728,210,173,6,0.013351983723296032
74,15834,215,106,5,0.013578375647341165
75,15946,222,112,7,0.013921986705129813
76,16101,225,155,3,0.013974287311347122
77,16185,229,84,4,0.014148903305529812
78,16208,232,23,3,0.014313919052319843
79,16246,235,38,3,0.014465099101317247
80,16289,238,43,3,0.01461108723678556
81,16310,239,21,1,0.014653586756591048
