,Cases,Deaths,Daily Cases,Daily Deaths,CFR
0,3,1,0,0,0.3333333333333333
1,3,1,0,0,0.3333333333333333
2,3,1,0,0,0.3333333333333333
3,3,1,0,0,0.3333333333333333
4,3,1,0,0,0.3333333333333333
5,3,1,0,0,0.3333333333333333
6,3,1,0,0,0.3333333333333333
7,3,1,0,0,0.3333333333333333
8,3,1,0,0,0.3333333333333333
9,3,1,0,0,0.3333333333333333
10,3,1,0,0,0.3333333333333333
11,3,1,0,0,0.3333333333333333
12,3,1,0,0,0.3333333333333333
13,3,1,0,0,0.3333333333333333
14,3,1,0,0,0.3333333333333333
15,3,1,0,0,0.3333333333333333
16,3,1,0,0,0.3333333333333333
17,3,1,0,0,0.3333333333333333
18,3,1,0,0,0.3333333333333333
19,3,1,0,0,0.3333333333333333
20,5,1,2,0,0.2
21,6,1,1,0,0.16666666666666666
22,10,1,4,0,0.1
23,24,1,14,0,0.041666666666666664
24,33,1,9,0,0.030303030303030304
25,49,2,16,1,0.04081632653061224
26,52,5,3,3,0.09615384615384616
27,64,5,12,0,0.078125
28,111,8,47,3,0.07207207207207207
29,140,12,29,4,0.08571428571428572
30,142,12,2,0,0.08450704225352113
31,187,14,45,2,0.0748663101604278
32,202,17,15,3,0.08415841584158416
33,217,17,15,0,0.07834101382488479
34,230,18,13,1,0.0782608695652174
35,307,19,77,1,0.06188925081433225
36,380,25,73,6,0.06578947368421052
37,462,33,82,8,0.07142857142857142
38,552,35,90,2,0.06340579710144928
39,636,38,84,3,0.059748427672955975
40,707,45,71,7,0.06364922206506365
41,803,54,96,9,0.06724782067247821
42,1075,68,272,14,0.06325581395348837
43,1418,71,343,3,0.05007052186177715
44,1546,78,128,7,0.050452781371280724
45,2084,88,538,10,0.04222648752399232
46,2311,96,227,8,0.04154045867589788
47,2633,107,322,11,0.04063805545005697
48,3018,136,385,29,0.04506295559973492
49,3094,144,76,8,0.04654169360051713
50,3246,152,152,8,0.04682686383240912
51,3660,163,414,11,0.04453551912568306
52,3764,177,104,14,0.04702444208289054
53,3870,182,106,5,0.047028423772609816
54,4076,203,206,21,0.04980372914622178
55,4195,221,119,18,0.05268176400476758
56,4428,247,233,26,0.055781391147244806
57,4648,297,220,50,0.06389845094664372
58,4932,315,284,18,0.06386861313868614
59,5223,335,291,20,0.06413938349607505
60,5453,349,230,14,0.06400146708234
61,5660,362,207,13,0.06395759717314488
62,5878,387,218,25,0.06583872065328343
63,6087,397,209,10,0.06522096270740924
64,6259,409,172,12,0.06534590190126219
65,6459,428,200,19,0.06626412757392786
66,6599,437,140,9,0.0662221548719503
67,6710,446,111,9,0.06646795827123696
68,6981,462,271,16,0.06617963042544048
69,7192,477,211,15,0.06632369299221356
70,7294,494,102,17,0.06772689882094872
71,7579,501,285,7,0.06610370761314158
72,7777,511,198,10,0.06570657065706571
73,7958,530,181,19,0.06659964815280221
74,8212,558,254,28,0.06794934242571846
75,8488,568,276,10,0.06691800188501414
76,8772,579,284,11,0.06600547195622435
77,8928,603,156,24,0.06754032258064516
78,9223,607,295,4,0.06581372655318227
79,9485,623,262,16,0.06568265682656826
80,9684,637,199,14,0.0657786038826931
81,10004,658,320,21,0.06577369052379048
