,Cases,Deaths,Daily Cases,Daily Deaths,CFR
0,0,0,0,0,0.0
1,0,0,0,0,0.0
2,0,0,0,0,0.0
3,0,0,0,0,0.0
4,0,0,0,0,0.0
5,0,0,0,0,0.0
6,0,0,0,0,0.0
7,0,0,0,0,0.0
8,0,0,0,0,0.0
9,0,0,0,0,0.0
10,0,0,0,0,0.0
11,1,0,1,0,0.0
12,1,0,0,0,0.0
13,3,0,2,0,0.0
14,3,0,0,0,0.0
15,3,0,0,0,0.0
16,3,0,0,0,0.0
17,4,0,1,0,0.0
18,6,0,2,0,0.0
19,6,0,0,0,0.0
20,9,0,3,0,0.0
21,13,0,4,0,0.0
22,15,0,2,0,0.0
23,17,0,2,0,0.0
24,29,0,12,0,0.0
25,47,0,18,0,0.0
26,59,0,12,0,0.0
27,95,0,36,0,0.0
28,123,0,28,0,0.0
29,139,0,16,0,0.0
30,168,0,29,0,0.0
31,217,0,49,0,0.0
32,260,0,43,0,0.0
33,277,0,17,0,0.0
34,308,0,31,0,0.0
35,367,0,59,0,0.0
36,433,3,66,3,0.006928406466512702
37,576,7,143,4,0.012152777777777778
38,794,12,218,5,0.015113350125944584
39,906,17,112,5,0.018763796909492272
40,1029,23,123,6,0.022351797862001945
41,1292,26,263,3,0.020123839009287926
42,1452,37,160,11,0.025482093663911846
43,1815,43,363,6,0.023691460055096418
44,2109,65,294,22,0.030820293978188716
45,2245,82,136,17,0.03652561247216036
46,2460,92,215,10,0.03739837398373984
47,2738,115,278,23,0.04200146092037984
48,3183,133,445,18,0.041784480050267046
49,3613,146,430,13,0.04040963188486023
50,3864,151,251,5,0.03907867494824017
51,4057,176,193,25,0.04338180921863446
52,4417,197,360,21,0.04460040751641386
53,4761,220,344,23,0.04620877966813695
54,5202,248,441,28,0.04767397154940407
55,5467,270,265,22,0.04938723248582404
56,5990,291,523,21,0.04858096828046744
57,6300,316,310,25,0.05015873015873016
58,6633,331,333,15,0.049902005125885725
59,6879,351,246,20,0.0510248582642826
60,7216,372,337,21,0.05155210643015521
61,7707,392,491,20,0.05086285195277021
62,8067,411,360,19,0.050948307921160285
63,8418,421,351,10,0.050011879306248515
64,8746,451,328,30,0.051566430368168305
65,8936,478,190,27,0.053491495076096685
66,9242,498,306,20,0.05388444059727332
67,9710,524,468,26,0.05396498455200824
68,10096,545,386,21,0.05398177496038035
69,10417,567,321,22,0.054430258231736584
70,10635,601,218,34,0.05651151857075693
71,11036,619,401,18,0.05608916274012323
72,11339,641,303,22,0.05653055825028662
73,11616,663,277,22,0.05707644628099173
74,11978,693,362,30,0.05785606946067791
75,12240,717,262,24,0.05857843137254902
76,12567,744,327,27,0.05920267366913345
77,12732,771,165,27,0.06055607917059378
78,13163,790,431,19,0.06001671351515612
79,13512,818,349,28,0.06053878034339846
80,13837,841,325,23,0.060779070607790704
81,14107,864,270,23,0.06124618983483377
