,Cases,Deaths,Daily Cases,Daily Deaths,CFR
0,28,0,0,0,0.0
1,29,0,1,0,0.0
2,30,0,1,0,0.0
3,31,0,1,0,0.0
4,58,0,27,0,0.0
5,111,1,53,1,0.009009009009009009
6,209,2,98,1,0.009569377990430622
7,436,2,227,0,0.0045871559633027525
8,602,6,166,4,0.009966777408637873
9,833,8,231,2,0.009603841536614645
10,977,11,144,3,0.011258955987717503
11,1261,12,284,1,0.00951625693893735
12,1766,13,505,1,0.007361268403171008
13,2337,16,571,3,0.0068463842533162175
14,3150,17,813,1,0.005396825396825397
15,3736,21,586,4,0.005620985010706638
16,4335,28,599,7,0.006459054209919262
17,5186,32,851,4,0.006170458927882761
18,5621,35,435,3,0.0062266500622665
19,6284,42,663,7,0.00668364099299809
20,6593,43,309,1,0.00652206886091309
21,7041,48,448,5,0.006817213463996591
22,7313,50,272,2,0.0068371393408997675
23,7478,53,165,3,0.007087456539181599
24,7513,60,35,7,0.007986157327299348
25,7755,60,242,0,0.007736943907156673
26,7869,66,114,6,0.008387342737323675
27,7979,67,110,1,0.008397042235869156
28,8086,72,107,5,0.008904279000742024
29,8162,75,76,3,0.009188924283263906
30,8236,75,74,0,0.009106362311801846
31,8320,81,84,6,0.009735576923076923
32,8413,84,93,3,0.009984547723760846
33,8565,91,152,7,0.010624635143023935
34,8652,94,87,3,0.010864539990753583
35,8799,102,147,8,0.011592226389362428
36,8897,104,98,2,0.011689333483196583
37,8961,111,64,7,0.012387010378305993
38,9037,120,76,9,0.01327874294566781
39,9137,126,100,6,0.013790084272737223
40,9241,131,104,5,0.014175954983226923
41,9332,139,91,8,0.014894984997856837
42,9478,144,146,5,0.01519307870858831
43,9583,152,105,8,0.015861421266826672
44,9661,158,78,6,0.016354414656867818
45,9786,162,125,4,0.01655426118945432
46,9887,165,101,3,0.01668858096490341
47,9976,169,89,4,0.016940657578187652
48,10062,174,86,5,0.0172927847346452
49,10156,177,94,3,0.017428121307601418
50,10237,183,81,6,0.017876330956334865
51,10284,186,47,3,0.01808634772462077
52,10331,192,47,6,0.01858484173845707
53,10384,200,53,8,0.01926040061633282
54,10423,204,39,4,0.019572100163100833
55,10450,208,27,4,0.019904306220095695
56,10480,211,30,3,0.02013358778625954
57,10512,214,32,3,0.020357686453576863
58,10537,217,25,3,0.020594096991553575
59,10564,222,27,5,0.021014767133661492
60,10591,225,27,3,0.0212444528373147
61,10613,229,22,4,0.02157731084518986
62,10635,230,22,1,0.021626704278326282
63,10653,232,18,2,0.02177790293813949
64,10661,234,8,2,0.021949160491511115
65,10674,236,13,2,0.022109799512834927
66,10683,237,9,1,0.02218477955630441
67,10694,238,11,1,0.02225547035720965
68,10702,240,8,2,0.022425714819659878
69,10708,240,6,0,0.022413149047441166
70,10718,240,10,0,0.02239223735771599
71,10728,242,10,2,0.022557792692020878
72,10738,243,10,1,0.022629912460420936
73,10752,244,14,1,0.02269345238095238
74,10761,246,9,2,0.022860328965709508
75,10765,247,4,1,0.022944728286112402
76,10774,248,9,1,0.023018377575645073
77,10780,250,6,2,0.023191094619666047
78,10793,250,13,0,0.02316316130825535
79,10801,252,8,2,0.023331173039533377
80,10804,254,3,2,0.023509811181044057
81,10806,255,2,1,0.02359800111049417
