,Dates,Cases,Deaths,Active Cases,Daily Cases,Daily Deaths,CFR,Cases growth rate,Deaths growth rate
0,Feb 15,0,0,0,0,0,0.0,0.0,0.0
1,Feb 16,0,0,0,0,0,0.0,0.0,0.0
2,Feb 17,0,0,0,0,0,0.0,0.0,0.0
3,Feb 18,0,0,0,0,0,0.0,0.0,0.0
4,Feb 19,0,0,0,0,0,0.0,0.0,0.0
5,Feb 20,0,0,0,0,0,0.0,0.0,0.0
6,Feb 21,0,0,0,0,0,0.0,0.0,0.0
7,Feb 22,0,0,0,0,0,0.0,0.0,0.0
8,Feb 23,0,0,0,0,0,0.0,0.0,0.0
9,Feb 24,0,0,0,0,0,0.0,0.0,0.0
10,Feb 25,0,0,0,0,0,0.0,0.0,0.0
11,Feb 26,0,0,0,0,0,0.0,0.0,0.0
12,Feb 27,0,0,0,0,0,0.0,0.0,0.0
13,Feb 28,0,0,0,0,0,0.0,0.0,0.0
14,Feb 29,0,0,0,0,0,0.0,0.0,0.0
15,Mar 01,0,0,0,0,0,0.0,0.0,0.0
16,Mar 02,0,0,0,0,0,0.0,0.0,0.0
17,Mar 03,0,0,0,0,0,0.0,0.0,0.0
18,Mar 04,0,0,0,0,0,0.0,0.0,0.0
19,Mar 05,0,0,0,0,0,0.0,0.0,0.0
20,Mar 06,0,0,0,0,0,0.0,0.0,0.0
21,Mar 07,0,0,0,0,0,0.0,0.0,0.0
22,Mar 08,0,0,0,0,0,0.0,0.0,0.0
23,Mar 09,0,0,0,0,0,0.0,0.0,0.0
24,Mar 10,0,0,0,0,0,0.0,0.0,0.0
25,Mar 11,0,0,0,0,0,0.0,0.0,0.0
26,Mar 12,0,0,0,0,0,0.0,0.0,0.0
27,Mar 13,0,0,0,0,0,0.0,0.0,0.0
28,Mar 14,0,0,0,0,0,0.0,0.0,0.0
29,Mar 15,0,0,0,0,0,0.0,0.0,0.0
30,Mar 16,0,0,0,0,0,0.0,0.0,0.0
31,Mar 17,2,0,2,2,0,0.0,0.0,0.0
32,Mar 18,2,0,2,0,0,0.0,1.0,0.0
33,Mar 19,5,0,5,3,0,0.0,2.5,0.0
34,Mar 20,6,0,6,1,0,0.0,1.2,0.0
35,Mar 21,14,0,14,8,0,0.0,2.3333333333333335,0.0
36,Mar 22,14,0,14,0,0,0.0,1.0,0.0
37,Mar 23,17,0,17,3,0,0.0,1.2142857142857142,0.0
38,Mar 24,18,0,18,1,0,0.0,1.0588235294117647,0.0
39,Mar 25,18,0,18,0,0,0.0,1.0,0.0
40,Mar 26,24,0,24,6,0,0.0,1.3333333333333333,0.0
41,Mar 27,26,0,26,2,0,0.0,1.0833333333333333,0.0
42,Mar 28,26,0,26,0,0,0.0,1.0,0.0
43,Mar 29,33,0,33,7,0,0.0,1.2692307692307692,0.0
44,Mar 30,33,0,33,0,0,0.0,1.0,0.0
45,Mar 31,34,0,34,1,0,0.0,1.0303030303030303,0.0
46,Apr 01,45,0,45,11,0,0.0,1.3235294117647058,0.0
47,Apr 02,46,0,46,1,0,0.0,1.0222222222222221,0.0
48,Apr 03,51,0,51,5,0,0.0,1.108695652173913,0.0
49,Apr 04,52,0,52,1,0,0.0,1.0196078431372548,0.0
50,Apr 05,56,1,49,4,0,0.017857142857142856,1.0769230769230769,0.0
51,Apr 06,60,2,52,4,1,0.03333333333333333,1.0714285714285714,2.0
52,Apr 07,63,3,54,3,1,0.047619047619047616,1.05,1.5
53,Apr 08,63,3,52,0,0,0.047619047619047616,1.0,1.0
