,Cases,Deaths,Daily Cases,Daily Deaths,CFR
0,1,0,0,0,0.0
1,1,0,0,0,0.0
2,1,0,0,0,0.0
3,1,0,0,0,0.0
4,1,0,0,0,0.0
5,1,0,0,0,0.0
6,1,0,0,0,0.0
7,1,0,0,0,0.0
8,1,0,0,0,0.0
9,1,0,0,0,0.0
10,1,0,0,0,0.0
11,1,0,0,0,0.0
12,1,0,0,0,0.0
13,1,0,0,0,0.0
14,1,0,0,0,0.0
15,2,0,1,0,0.0
16,2,0,0,0,0.0
17,2,0,0,0,0.0
18,2,0,0,0,0.0
19,3,0,1,0,0.0
20,15,0,12,0,0.0
21,48,0,33,0,0.0
22,55,1,7,1,0.01818181818181818
23,59,1,4,0,0.01694915254237288
24,59,1,0,0,0.01694915254237288
25,67,1,8,0,0.014925373134328358
26,80,2,13,1,0.025
27,93,2,13,0,0.021505376344086023
28,110,2,17,0,0.01818181818181818
29,126,2,16,0,0.015873015873015872
30,166,4,40,2,0.024096385542168676
31,196,6,30,2,0.030612244897959183
32,210,6,14,0,0.02857142857142857
33,256,7,46,1,0.02734375
34,285,8,29,1,0.028070175438596492
35,294,10,9,2,0.034013605442176874
36,327,14,33,4,0.04281345565749235
37,366,19,39,5,0.05191256830601093
38,402,20,36,1,0.04975124378109453
39,456,21,54,1,0.046052631578947366
40,495,24,39,3,0.048484848484848485
41,536,30,41,6,0.055970149253731345
42,576,36,40,6,0.0625
43,609,40,33,4,0.06568144499178982
44,656,41,47,1,0.0625
45,710,46,54,5,0.0647887323943662
46,779,52,69,6,0.06675224646983312
47,865,58,86,6,0.06705202312138728
48,985,66,120,8,0.06700507614213198
49,1070,71,85,5,0.06635514018691589
50,1173,78,103,7,0.06649616368286446
51,1322,85,149,7,0.06429652042360061
52,1450,94,128,9,0.06482758620689655
53,1560,103,110,9,0.06602564102564103
54,1699,118,139,15,0.06945261918775751
55,1794,135,95,17,0.07525083612040134
56,1939,146,145,11,0.07529654461062403
57,2065,159,126,13,0.07699757869249395
58,2190,164,125,5,0.07488584474885844
59,2350,178,160,14,0.07574468085106383
60,2505,183,155,5,0.07305389221556886
61,2673,196,168,13,0.07332585110362888
62,2844,205,171,9,0.0720815752461322
63,3032,224,188,19,0.07387862796833773
64,3144,239,112,15,0.07601781170483461
65,3333,250,189,11,0.075007500750075
66,3490,264,157,14,0.07564469914040114
67,3659,276,169,12,0.07543044547690626
68,3891,287,232,11,0.07375995887946543
69,4092,294,201,7,0.0718475073313783
70,4319,307,227,13,0.07108126881222505
71,4534,317,215,10,0.06991618879576533
72,4782,337,248,20,0.07047260560434965
73,5042,359,260,22,0.07120190400634668
74,5268,380,226,21,0.0721336370539104
75,5537,392,269,12,0.07079646017699115
76,5895,406,358,14,0.06887192536047498
77,6193,415,298,9,0.06701114161149685
78,6465,429,272,14,0.06635730858468677
79,6813,436,348,7,0.06399530309702041
80,7201,452,388,16,0.06276905985279822
81,7588,469,387,17,0.061808118081180814
