,Dates,Cases,Deaths,Active Cases,Daily Cases,Daily Deaths,CFR,Cases growth rate,Deaths growth rate
0,Feb 15,0,0,0,0,0,0.0,0.0,0.0
1,Feb 16,0,0,0,0,0,0.0,0.0,0.0
2,Feb 17,0,0,0,0,0,0.0,0.0,0.0
3,Feb 18,0,0,0,0,0,0.0,0.0,0.0
4,Feb 19,0,0,0,0,0,0.0,0.0,0.0
5,Feb 20,0,0,0,0,0,0.0,0.0,0.0
6,Feb 21,0,0,0,0,0,0.0,0.0,0.0
7,Feb 22,0,0,0,0,0,0.0,0.0,0.0
8,Feb 23,0,0,0,0,0,0.0,0.0,0.0
9,Feb 24,0,0,0,0,0,0.0,0.0,0.0
10,Feb 25,0,0,0,0,0,0.0,0.0,0.0
11,Feb 26,0,0,0,0,0,0.0,0.0,0.0
12,Feb 27,0,0,0,0,0,0.0,0.0,0.0
13,Feb 28,0,0,0,0,0,0.0,0.0,0.0
14,Feb 29,0,0,0,0,0,0.0,0.0,0.0
15,Mar 01,0,0,0,0,0,0.0,0.0,0.0
16,Mar 02,0,0,0,0,0,0.0,0.0,0.0
17,Mar 03,0,0,0,0,0,0.0,0.0,0.0
18,Mar 04,0,0,0,0,0,0.0,0.0,0.0
19,Mar 05,0,0,0,0,0,0.0,0.0,0.0
20,Mar 06,0,0,0,0,0,0.0,0.0,0.0
21,Mar 07,0,0,0,0,0,0.0,0.0,0.0
22,Mar 08,0,0,0,0,0,0.0,0.0,0.0
23,Mar 09,0,0,0,0,0,0.0,0.0,0.0
24,Mar 10,0,0,0,0,0,0.0,0.0,0.0
25,Mar 11,0,0,0,0,0,0.0,0.0,0.0
26,Mar 12,0,0,0,0,0,0.0,0.0,0.0
27,Mar 13,0,0,0,0,0,0.0,0.0,0.0
28,Mar 14,0,0,0,0,0,0.0,0.0,0.0
29,Mar 15,0,0,0,0,0,0.0,0.0,0.0
30,Mar 16,0,0,0,0,0,0.0,0.0,0.0
31,Mar 17,0,0,0,0,0,0.0,0.0,0.0
32,Mar 18,3,0,3,3,0,0.0,0.0,0.0
33,Mar 19,3,0,3,0,0,0.0,1.0,0.0
34,Mar 20,6,0,6,3,0,0.0,2.0,0.0
35,Mar 21,14,0,14,8,0,0.0,2.3333333333333335,0.0
36,Mar 22,14,0,14,0,0,0.0,1.0,0.0
37,Mar 23,16,0,16,2,0,0.0,1.1428571428571428,0.0
38,Mar 24,42,0,42,26,0,0.0,2.625,0.0
39,Mar 25,44,0,44,2,0,0.0,1.0476190476190477,0.0
40,Mar 26,44,0,44,0,0,0.0,1.0,0.0
41,Mar 27,58,0,58,14,0,0.0,1.3181818181818181,0.0
42,Mar 28,58,0,58,0,0,0.0,1.0,0.0
43,Mar 29,84,0,84,26,0,0.0,1.4482758620689655,0.0
44,Mar 30,94,0,91,10,0,0.0,1.119047619047619,0.0
45,Mar 31,107,0,104,13,0,0.0,1.1382978723404256,0.0
46,Apr 01,111,0,108,4,0,0.0,1.0373831775700935,0.0
47,Apr 02,116,0,111,5,0,0.0,1.045045045045045,0.0
48,Apr 03,130,1,123,14,0,0.007692307692307693,1.1206896551724137,0.0
49,Apr 04,144,1,134,14,0,0.006944444444444444,1.1076923076923078,1.0
